あけの,아케노
海神,가이진초
海老塚,에빝수카
海運町,가이운초
海道町,가이도초
海部郡,아마군
淀の原町,요도노하라초
深井中町,후카이나카마치
深作,후카사쿠
深堀町,후카보리초
深大寺東町,진다이지히가시마치
深日,후케
深江本町,후캐혼마치
深田,후카다초
深田台,후카다다이
深田町,후카다초
深町,후카마치
深谷町,후카야초
深野,후카노
淵崎,후치사키
淵野辺,후치노베
添川,쇠가와
清地,세이지
清戸,기요토
清新,세이신
清武町,기요타케 초
清滝,기요타키
清澄,기요수미
清見,기요미초
清見台,기요미다이
済井出,수믜데
渋谷区,시부야
渡内,와타우치
渡利,와타리
渡戸,와타시도
渡波町,와타노하초
渡瀬,와타세
渡田,와타리다
渡田新町,와타리다신초
温水西,누루미수니시
温泉,온센
港区,미나토쿠
港川,미나토가와
湊新田,미나토신덴
湊町,미나토초
湯山,유야마
湯山台,유야마다이
湯島,유시마
湯川新町,유가와신마치
湯川町,유노카와초
湯町,유마치
湯船,유부네
湯郷,유노고
湯里,유사토
溝口,미소구치
溝堀,미소호리
溝沼,미소누마
滝沢町,다키사와초
滝野,다키노
漁町,이사리마치
潮見が丘,시오미가오카
潮見町,시오미초
澄川,수미카와초
瀬古,세코
瀬名川,세나가와
瀬崎,세사키
瀬川,세가와
瀬戸田町瀬戸田,세토다초세토다
瀬戸町,세도마치
瀬戸越,세토괴
瀬戸郷,세토고
瀬棚郡,세타나군
為又,비이마타
烏帽子町,에보시초
無田,무타
照屋,데루야
熊倉,구마쿠라
熊内橋通,구모치바시도리
熊内町,구모치초
熊川,구마가와
熊本市中央区,추오쿠
熊本市北区,기타쿠
熊本市南区,미나미쿠
熊本市東区,히가시쿠
熊本市西区,니시쿠
熊毛郡,구마게군
熊田,구마다
熊町,구마마치
片倉町,가타쿠라초
片原,가타하라
片山,가타야마초
片岡台,가타오카다이
片平町,가타히라마치
片江,가태
片淵,가타후치
片町,가타마치
片貝,가타카이
片野,가타노
牛久保,우시쿠보
牛水,우시노미수
牛深町,우시부카마치
牛窓町鹿忍,우시마도초카시노
牛袋,우시부쿠로
牟田,무타
牟礼,지요다
牧町,마키초
牧落,마키오치
物集女町,모수메초
犀川本庄,사이가와혼조
犬目,이누메
犬落瀬,이누오토세
犬蔵,이누쿠라
犬飼町,이누카이초
猪俣,이노마타
猪倉,이노쿠라마치
猪尻,이지리
猪熊,이노쿠마
猿ヶ京温泉,사루가쿄온센
猿島郡,사시마군
玉井,다마이
玉出東,다마데히가시
玉島長尾,다마시마나가오
玉川台,다마가와다이
玉津,다맡수
王子本町,오지혼초
王子町,오지초
玖珂町,구가마치
玖珠郡,구수군
球磨郡,구마군
琴芝町,고토시바초
瓜島町,우리지마초
瓜生,우류
瓦町,가와라마치
甘楽郡,칸라군
甚兵衛通,진베도리
生出,오이데
生地,이쿠지
生山,쇼야마
生月町壱部,이킽수키초이치부
生月町山田免,이킽수키초야마다멘
生田町,이쿠타초
生野町,이쿠노초
生野西,이쿠노니시
生駒郡,이코마군
田ノ浦,다노라
田中,다나카
田中町,다나카마치
田井,다이
田代,다시로
田切,다기리
田原新町,다하라신마치
田原町,다바루초
田口,다구치
田子内,다고나이
田山,다야마
田島,다지마
田川郡,쇠다 마치
田平町小手田免,다비라초코테다멘
田平町福崎免,다비라초후쿠사키멘
田方郡,다가타군
田本,다모토
田村郡,다무라군
田沢,다사와
田沢湖生保内,다사와코오보나이
田浦町,다노우라마치
田無町,다나시초
田熊,다구마
田町,다마치
田神,다가미
田端,다바타초
田端新町,다바타신마치
由良宿,유라
甲南町,고난초
甲南町耕心,고난초코신
甲子園口,고시엔구치
甲子園町,고시엔초
甲東園,고퇸
甲田,고다
甲賀町大原市場,고카초오하라이치바
甲風園,고후엔
男石,오이시
町中,마치나카
町二,마치니
町屋町,마치야초
町庭坂,마치니와사카
町裏,마치우라
畑中,하타케나카
畑原通,하타하라도리
畑寺,하타데라
畑田,하타다
番場町,반바초
番田,반다마치
番館,반다테
発地,홑치
登呂,도로
登川,노보리카와
登戸町,노보리토초
登米町寺池,도요마마치테라이케
登野城,도노구수쿠
白壁,시라카베
白岳,시라타케
白島,하쿠시마
白楽,하쿠라쿠
白毫寺町,뱌쿠코지초
白沢,시라사와
白田,시로타
白砂,시라수
白糸台,시라이토다이
白金台,시로카네다이
白金町,시로가네초
白鳥町,시라토리초
百々,도도
百石町,햐꼬마치
的場,마토바초
皆瀬町,가이세초
皇山町,고산초
目安,메야수
目手久,메테구
目白台,메지로다이
目黒区,메구로쿠
目黒本町,메구로혼초
相の原,아이노하라
相南,소난
相原町,소하라초
相坂,오사카
相楽,사가나카
相楽郡精華町,세이카초
相模が丘,사가미가오카
相模原市中央区,추오쿠
相模原市南区,미나미쿠
相模原市緑区,미도리쿠
相模大野,사가미오노
相沢,아이사와
相生町,아이오이초
相知町相知,오치초오치
相馬郡,소마군
真喜屋,마키야
真坂,마사카
真弓,마유미
真栄里,매사토
真法院町,신포인초
真玉橋,마단바시
真田,사나다
真船,마부네
真野,마노
真鍋,마나베
矢上,야카미
矢倉,야구라
矢口,야구치
矢島,야지마
矢本,야모토
矢来町,야라이초
矢田町,야타마치
矢田野町,야타노마치
矢部,야베
矢部町,야베초
知多郡,지타군
知多郡東浦町,히가시우라 초
石丸,이시마루
石仏,이시보토케
石倉町,이시쿠라초
石原,이시하라
石原町,이시와라마치
石和町,이사와
石坪町,이싵수보마치
石堂,이시도
石崎,이시사키
石川郡,이시카와군
石戸,이시토
石橋町,이시바시마치
石江,이시에
石狩郡,이시카리군
石生,이슈
石田,이시다
石町,고쿠마치
石畑,이시바타
石神井町,샤쿠지이마치
石部,이시부
石金,이시가네
砂山,수나야마
磯上町,이소노카미초
磯上通,이소가미도리
磯光,이소밑수
磯城郡,시키군
磯浜町,이소하마초
磯部,이소베마치
社領,샤료
祇園町,기온마치
祓川,하라이카와
神ノ木通,가미노키도리
神代,가지로
神保原町,진보하라마치
神内,고나이
神大寺,칸다이지
神宮前,진구매
神宮寺,진구지
神岡町船津,가미오카초후낱수
神崎郡,칸사키군
神川町,가미카와마치
神戸市中央区,추오쿠
神戸市兵庫区,효고 쿠
神戸市北区,기타 쿠
神戸市垂水区,다루미 쿠
神戸市東灘区,히가시나다 쿠
神戸市灘区,나다 쿠
神戸市西区,니시쿠
神戸市長田区,나가타 쿠
神戸市須磨区,수마 쿠
神明町,심메이초
神松寺,신쇼지
神林,칸바야시
神楽,가구라초
神楽岡,가구라오카
神殿町,고도노초
神田川町,칸다가와초
神田町,진덴마치
神田神保町,칸다진보초
神田駿河台,칸다수루가다이
神着,가밑수키
神石郡,진세키군
神納,칸노
神若通,가미와카도리
神里,가미사토
神野,가노
神野西,가미노니시
神鳥,칸도리
禅昌寺町,젠쇼지초
福住,후쿠수미
福住通,후쿠수미도리
福吉,후쿠요시
福富町,후쿠도미
福岡市中央区,추오 쿠
福岡市南区,미나미
福岡市博多区,하카타
福岡市城南区,조난쿠
福岡市早良区,사와라
福岡市東区,히가시 쿠
福岡市西区,니시
福本,후쿠모토
福永,후쿠나가
福浜,후쿠하마
福王台,후쿠오다이
福石町,후킈시초
福野田,후쿠노다
私部西,기사베니시
秋成,아키나리
秋津町,아킽수
秋葉台,아키바다이
秋葉町,아키바초
秩父郡,지치부군
稔町,미노리초
稲元,이나모토
稲吉,이나요시
稲岡町,이나오카초
稲敷郡,이나시키군
稲生,이너
稲生町,이나오이초
稲田新町,이나다심마치
稲田本町,이나다혼마치
稲美町,이나미
稲荷,이나리마치
稲荷元町,이나리모토마치
稲荷町,이나리마치
稲葉,이나바초
稲葉元町,이나바모토마치
稲葉町,이나바초
稲葉荘,이나바소
稲野町,이나노초
穀町,고쿠초
穂波町,호나미초
穴虫,아나무시
空知郡,소라치군
立串郷,다테구시고
立田,탙수다
立石,다테이시
立神,다테가미
立花町,다치바나초
立野,다테노초
立野台,탙수노다이
竹の台,다케노다이
竹丘,다커카마치
竹原町,다케하라마치
竹鼻,다케하나
笛吹郷,후에후키고
笠田東,가세다히가시
笠神,가사가미
笠窪,가사쿠보
第一,다이이치
第三,다이산
笹下,사사게
笹尾,사사오
笹木野,사사키노
笹賀,사사가
笹野町,사사노초
筒井町,트숱싀초
箱作,하콭수쿠리
箱清水,하코시미수
築上郡,지쿠조군
築地町,트수키지초
築館薬師,트수키다테야쿠시
篠ノ井布施高田,시노노이후세타카다
篠原伯母野山町,시노하라오바노야마초
篠原北,시노하라키타마치
篠原北町,시노하라키타마치
篠原東,시노와라히가시
篠原西,시노하라니시초
篠田,시노다
篠町浄法寺,시노초조호지
籠池通,가고이케도리
米が浜通,요네가하마도리
米ノ山,고메노야마
米山町,요네야마초
米田町,요네다마치
米野,메노
粕壁東,가수카베히가시
粕谷,가수야
粟生外院,아오게인
粟生町,아오초
粟生間谷西,아오마타니니시
糟屋郡,가수야군
糟屋郡粕屋町,가수야 마치
糠塚,누카수카
糸屋町,이토야마치
糸木名,이토키나
紀北町,기호쿠
紀尾井町,기오이초
紅葉丘,모미지가오카
紋別郡,몬벹수 군
納官,노칸
納富分,노도미분
納所,노소
紐差町,히모사시초
紙屋町,가미야초
紫波郡,시와군
紫竹,시치쿠
細代,호소시로
細江町,호쇠초
細野,호소노
紺屋町,콘'야마치
絹ケ丘,기누가오카
綱島東,트수나시마히가시
綱島西,트수나시마니시
網干区新在家,아보시쿠신사이케
網干区浜田,아보시쿠하마다
綾歌郡,아야우타군
綾羽,아야하
緑丘,미도리가오카
緑井,미도리이
緑園,료쿠엔
緒川,오가와
練馬区,네리마쿠
繁根木,하네기
美原区,미하라쿠
美原町,미하라초
美和町,미와초
美咲,미사키
美咲町,미사키초
美園町,미소노초
美川,미카와
美方郡,미카타군
美浜町,미하마 초
美里町,미사토 마치
美鈴,미수수초
美馬郡,미마 군
羽倉崎,하구라사키
羽咋郡,하킈 군
羽場,하바
羽島郡,하시마군
羽広,하비로
羽束師,하수카시
羽東,하네히가시
羽根,하네
羽根木,하네기
羽沢町,하사와초
羽衣,하고로모
羽衣町,하고로모초
羽黒,하구로초
羽黒町,하구로초
翁長,오나가
老久保,오이쿠보
老松町,오이맡수초
耶麻郡,야마군
肝属郡,기뫁수키 군
肥子町,히코초
胆沢郡,이사와군
胡町,에비수초
胡麻生,고모
脇山,와키야마
脇浜,와키하마
脇神,와키가미
臼山,우수야마
臼田,우수다
興和,고와
興野,오키노
舎利寺,샤리지
舘山,다테야마
舘岡,다터카 무라
舘町,다테마치
舞々木町,마이마이기초
舞の里,마이노사토
舞戸町,마이도마치
舞阪,마이사카
舞阪町,마이사카
舟倉,후나구라
舟入町,후네이리초
舟津,후낱수
舟渡,후나도
舟町,후나마치
船場,센바
船塚,후나수카
船川,후나가와
船廻,후나마와리
船引町,후네히키마치후네히키
船引町船引,후네히키마치후네히키
船戸,후나토
船木,후나키
船江,후내
船津,후낱수
船渡,후나토
船町,후나마치
船越町,후나코시초
芝中田,시바나카다
芝久保町,시바쿠보초
芝公園,시바쾬
芝原,시바와라
芝宮根町,시바미야네초
芝樋ノ爪,시바히놑수메
芝町,시바마치
芦ケ久保,아시가쿠보
芦崎,아시사키
芦野,아시노
花之木,하나노키
花園町,하나소노초
花垣町,하나가키초
花小金井南町,하나코가네이미나미초
花山,하나야마초
花月町,가겥수초
花栗,하나구리
花沢,하나사와
花田,하나타
芳賀郡,하가군
芳野,요시노
芹沢,세리사와
苗代,내시로
若宮,와카미야
若宮町,와카미야초
若松台,와카맡수다이
若松町,와카맡수초
若松郷,와카맡수고
若林,와카바야시
若柳川南,와카야나기카와미나미
若狭,와카사
若狭町,와카사초
若竹町,와카타케초
若草町,와카쿠사초
若葉町,와카바마치
苫前郡,도마매 군
茅部郡,가야베군
茅部郡森町,모리마치
茨沢,이바라사와
茶屋,차야
茶町,차마치
茶花,차바나
草戸町,구사도초
草越,구사괴
草香江,구사개
荏原,에바라
荏田町,에다초
荒子,아라코
荒尾町,아라오마치
荒島町,아라시마초
荒川区,아라카와쿠
荒巻,아라마키
荒戸,아라토
荒木町,아라키초
荒本,아라모토
荒浜,아라하마
荒田,아라타초
荒田町,아라타초
荒砥,아라토
荒神,고진마치
荘園,쇤
荻伏町,오기후시초
荻道,오기도
莵道,도도
菅北浦,수게키타우라
菅原,수가하라
菅原町,수가와라마치
菅田町,수게타초
菅稲田堤,수가이나다숱수미
菅谷,수가야
菅野,수게노
菊水,기쿠싀
菊池郡,기쿠치군
菊野台,기쿠노다이
菊間町,기쿠마
菩提寺,보다이지
菱屋西,히시야니시
菱田,히시다
萩之茶屋,하기노차야
萩原,하기하라
萩尾,하기노
萱島本町,가야시마혼마치
萱野,가야노
落合南,오치아이미나미
落田,오치타
葉ノ木沢,하노키사와
葛が谷,구수가야
葛原,구수하라
葛飾区,캍수시카쿠
葦北郡,아시키타군
葵町,아오이초
蒲生西町,가모니시마치
蒲生郡,가모군
蓬莱町,호라이초
蓮台寺,렌다이지
蓮町,하수마치
蔵々,조소
蔵前,구라매
蔵谷,구라타니
薩摩郡,샅수마 군
薬師,야쿠시
薬師台,야쿠시다이
薬師堂,야쿠시도
藤の里,후지노사토
藤久保,후지쿠보
藤原,후지와라
藤原台中町,후지와라다이나카마치
藤戸,후지토
藤松,후지맡수
藤棚町,후지다나초
藤橋,후지하시
藤江,후지에
藤沢町,후지사와초
藤波,후지나미
藤生町,후주마치
藤田,도다초
藤白台,후지시로다이
藪塚町,야부수카초
虎ノ門,도라노몬
虻田郡,아부타군
蛇田,헤비타
蛍沢,호타루사와
蛍谷,호타루다니
蛭子,에비수마치
行事,교지
衣摺,기수리
衣笠栄町,기누카사사캐초
表町,오모테마치
袋町,후쿠로마치
裏町,우라마치
西みずほ台,니시미수호다이
西ノ,니시노무라
西三国,니시미쿠니
西三輪,니시미와
西下,니시시모
西中,니시나카무라
西中島,니시나카지마
西中田,니시나카다
西丸山町,니시마루야마마치
西久保,니시쿠보
西之,니시노
西亀有,니시카메아리
西京極,니시쿄고쿠
西代町,니시다이초
西伊興,니시이코초
西住之江,니시수미뇌
西倉,니시쿠라초
西八代郡,니시얕수시로군
西八朔町,니시하싸쿠초
西初石,니시핱싀시
西加平,니시카헤이
西向,니시무카이
西品川,니시시나가와
西城町,니시시로초
西多摩郡,니시타마군
西多田,니시타다
西大寺中,사이다이지나카
西大沼,니시오누마
西大竹,니시오다케
西天満,니시템마
西宮町,니시미야마치
西富,니시토미
西小岩,니시코이와
西小泉,니시코이수미
西尾久,니시오구
西山,니시야마초
西山田,니시야마다
西山町,니시야마초
西岩田,니시이와타
西島町,니시지마초
西崎,니시사키
西川原,니시가와라
西彼杵郡,니시소노기군
西彼町小迎郷,세이히초코무캐고
西戸部町,니시토베초
西新井本町,니시아라이혼초
西新町,니시아라마치
西方,니시카타
西日暮里,니시니뽀리
西明石町,니시아카시초
西春日井郡,니시카수가이군
西本町,니시혼초
西村山郡,니시무라야마군
西条町,사이조초
西池袋,니시이케부쿠로
西泉,니시이수미
西津田,니싵수다
西津軽郡,니싵수가루군
西浅草,니시아사쿠사
西浜,니시하마
西浜町,니시하마초
西浦,니시우라
西淡路,니시아와지
西片,니시카타마치
西牟婁郡,니시무로군
西生田,니시이쿠타
西田辺町,니시타나베초
西畦野,니시우네노
西白河郡,니시시라카와군
西神田,니시칸다
西糀谷,니시코지야
西組,니시구미
西置賜郡,니시오키타마군
西臼杵郡,니시우수키군
西船,니시후나
西若町,니시와카초
西蒲田,니시카마타
西谷町,니시야마치
西道野辺,니시미치노베
西里,니시사토
西野添,니시노쇠
西難波町,니시나니와초
西青木,니시아오키
西鶴間,니싵수루마
西麻布,니시아사부
見世,미세
見晴町,미하라시초
見瀬町,미세초
見花山,미하나야마
見通,미토리
見野,미노
見附町,밑수케초
見高,미다카
観音林,칸논바야시
詫間町松崎,다쿠마초맡수사키
諏訪町,수와초
諏訪郡,수와군
諸井,모로이
諸口,모로쿠치
諸見里,모로미사토
諸輪,모로와
識名,시키나
谷下,야시타
谷中町,야나카초
谷地,야치
谷尾崎町,다니오사키마치
谷川,다니고
谷戸町,야토초
谷津,얕수초
谷町,다니마치
豊住,도요수미
豊南,호난
豊原,도요하라초
豊原町,도요하라초
豊岡町,도요오카초
豊島区,도시마
豊島家浦,데시마이으라
豊崎,도요사키초
豊川町,도요카와초
豊平,도요히라쿠
豊浜町和田浜,도요하마초와다하마
豊玉上,도요타마카미
豊玉中,도요타마나카
豊玉北,도요타마키타
豊玉南,도요타마미나미
豊町,유타카마치
豊能郡,도요노 군
豊里町,도요사토초
豊野町,도요노초
貝沢,가이사와
貞山通,데이산도리
貫井北町,누킈키타마치
貴志川町上野山,기시가와초우에노야마
貴船,기후네
賀茂郡,가모군
赤井,아카이
赤坂町,아카사카초
赤堀,아카보리
赤山町,아카야마초
赤岡町,아카오카초
赤島町,아카시마마치
赤松町,아카맡수초
赤池,아카이케
赤沼,아카누마
赤瀬川,아카세가와
赤穂郡,아코군
赤羽西,아카바네니시
赤谷,아카타니
赤道,아카미치
赤馬場,아카바바
越中島,엩추지마
越戸,쾨도
越智郡,오치군
越来,괴쿠
足寄郡,아쇼로군
足柄上郡,아시가라카미군
足柄下郡,아시가라시모군
跡佐登原野,아토사노보리겐'야
軍川,이쿠사가와
軽里,가루사토
辛川,가라카와
辰巳,탙수미초
辺土名,헨토나
辺野古,헤노코
辻井,트수지이
辻堂東海岸,트수지도히가시카이간
近藤,콘도
近野,지카노
迫町佐沼,하사마초사누마
迫町新田,하사마초니따
追分町,오이와케초
追分西,오이와케니시
追浜本町,오빠마혼초
追浜町,오빠마초
逆瀬川,사카세가와
通町,도리마치
速見郡,하야미군
造道,트수쿠리미치
道口蛭田,도구치히루다
道庭,도니와
道祖土,사이도
道越,도고시
遠田郡,도다 군
遠藤,엔도마치
遠賀郡,온가군
遠里小野,오리오노
邑久町虫明,오쿠초무시아게
邑智郡,오치 군
邑楽郡,오라군
那古野,나고노
那珂川町,나카가와 마치
那珂郡,나카군
那賀川町中島,나카가와초나카시마
那賀郡,나카 군
那須郡,나수군
郡家,군게
郡津,고수
郷原,고바라
郷地,고치초
郷地町,고치초
郷戸,고도
郷野目,고노메
都屋,도야
都岡町,트수오카초
都島中通,미야코지마나카도리
都島本通,미야코지마혼도리
都田,미야코다
都町,미야코초
都筑区,트수수키 쿠
都賀町,트수가마치
都農町,트수노 초
酒屋町,사카야초
酒津,사카수
酒町,사카마치
醍醐,다이고
釈迦内,샤카나이
里中,사토나카초
里中町,사토나카초
里山,사토야마
里山辺,사토야마베
里浦町里浦,사토우라초사토우라
里町,사토마치
里見,사토미
重住,시게수미
重留,시게도메
野七里,노시치리
野上,노가미
野上町,노조마치
野下,노시타
野中,노나카
野中町,노나카초
野付郡,놑수케군
野原,노바라
野口町,노구치초
野崎町,노사키초
野崎郷,노사키고
野嵩,노다케
野庭町,노바초
野木崎,노기사키
野村,노무라
野村町,노무라
野水,노미수
野津原,놑수하루
野火止,노비도메
野見山,노미야마
野辺,노베
野里町,노사토초
野間,노마
金の隈,가네노쿠마
金古町,가네코마치
金堀,가나호리초
金子,가네코
金屋,가나야
金岡,가나오카
金木町,가나기초
金森,가나모리
金沢町,가나사와초
金生,가노
釜利谷南,가마리야미나미
釜利谷東,가마리야히가시
釜利谷西,가마리야니시
針町,하리초
釧路郡,구시로군
鈴原,수수하라
鈴川町,수수카와초
鈴張町,수수하리초
鈴木町,수수키초
鈴蘭台南町,수수란다이미나미마치
鈴蘭台西町,수수란다이니시마치
鈴谷,수수야
鉄砲町,데뽀마치
鉢塚,하치수카
鉢山町,하치야마초
鋳物師町,이모지마치
鍋倉,나베쿠라
鍋島,나베시마
鍛冶屋,가지야
鍛冶町,가지초
鎌塚,가맡수카
鎗屋町,야리야마치
鎮西町,친세이마치
鎮西町馬渡島,친세이마치마다라시마
鏡川町,가가미가와초
鏡田,가가미다
長井町,나가이마치
長作,나가사쿠
長内,오사나이
長吉長原東,나가요시나가하라히가시
長吉長原西,나가요시나가하라니시
長坂町,나가사카초
長尾東,나가오히가시
長居東,나가이히가시
長居西,나가이니시
長岡町,나가오카초
長岡郡,나가오카 군
長峰,나가미네
長府南之町,초후미나미노초
長根,나가네
長森,나가모리
長橋,나가하시
長橋町,나가하시초
長沢町,나가사와초
長津,나같수
長洲中通,나가수나카도리
長澤,나가사와
長生郡,초세이군
長田,나가타
長田区,나가타 쿠
長田町,나가타마치
長者,초자
長者町,초자마치
長蔵,초소
長行西,오사유키니시
長迫,나가사코
長野町,나가노초
長須賀,나가수카
門前町,몬센초
門樋町,몬피마치
門田屋敷,가도타야시키
門脇,가도노와키
閖上,유리아게
関屋,세키야
関戸,세키도
関田,세키다
関町北,세키마치키타
関町南,세키마치미나미
関西町,칸세이초
関谷,세키얕수
関間,세키마
阪南町,한난초
阿久津,아쿹수
阿佐谷北,아사가야키타
阿古,아코
阿寒町北新町,아칸초키타신마치
阿島,아지마
阿東地福上,아토지후쿠카미
阿波根,아하곤
阿蘇郡,아소군
阿賀中央,아가추오
阿部,아베
阿部倉,아베쿠라
阿部野,아베노
院内,인나이
陣内,진나이
陣屋,진'야
陵厳寺,료겐지
陽光台,요코다이
隠岐郡,오키군
雑司が谷,조시가야
雑賀,사이카마치
雑賀町,사이카마치
難波中,남바나카
青山南,아오야마미나미
青山台,아오야마다이
青木町,오기마치
青柳,아오야기초
青柳町,아오야기초
青田,아오타
青葉区,아오바
青葉町,아오바초
青野,아오노
静岡市清水区,시미수쿠
静岡市葵区,아오이쿠
静岡市駿河区,수루가 쿠
静波,시수나미
鞍掛,구라카케
韮山山木,니라야마야마키
音羽町,오토와초
頃末南,고로수에미나미
須々木,수수키
須和田,수와다
須屋,수야
須崎町,수사키마치
須成,수나리초
頓野,톤노
領家,료케
額田郡,누카타군
願成寺町,간조지마치
類家,릐케
風渡野,후또노
飯坂町,이이사카마치
飯山町,이노야마마치
飯岡,이노오카
飯島新町,이이지마신마치
飯田岡,이이다오카
飯田町,이이다초
餅田,모치타
養老郡,요로군
饒波,노하
首里石嶺町,슈리이시미네초
香南市,고난 시
香取郡,가토리군
香園,고소노
香川郡,가가와군
香椎浜,가시이하마
香椎駅東,가시이에키히가시
香澄,가수미
香登本,가가토모토
香美町,가미 초
香里園町,고리엔초
馬の背,마노세
馬出,마이다시
馬場,바바
馬瀬,마세
馬絹,마기누
馬見塚,마미수카
馬越,마고시
馬郡,마긔
駅前町,에키매초
駅南,에키미나미
駅南町,에키미나미초
駒場南,고마바미나미
駒場町,고마바초
駒川,고마가와
駒橋,고마바시
駒沢,고마사와
駒越,고마괴
駿東郡,순토군
高丘北,다카오카키타
高丸,다카마루
高久,다카히사
高井戸東,다카이도히가시
高井戸西,다카이도니시
高倉台,다카쿠라다이
高円寺北,쾬지키타
高円寺南,쾬지미나미
高取北,다카토리키타
高土町,고도초
高坊,다카보
高塚,다캍수카
高尾町,다카오마치
高屋敷,다카야시키
高屋町,다카야초
高山村,다카야마 무라
高岡郡,다카오카군
高島町,다카시마마치
高師,다카시초
高師浜,다카시노하마
高平,다카히라
高座郡,고사군
高房,다카후사
高日向,다카히나타
高木,다카기초
高来,다카쿠
高松町,다카맡수초
高校通,고코도리
高根台,다카네다이
高根町,다카네초
高森台,다카모리다이
高森町,다카모리 마치
高橋,다카하시
高殿,다카도노
高津原,다캍수하라
高洲,다카수
高瀬町,다카세초
高田町,다카타초
高町,다카마치
高砂町,다카사고초
高美町,다카미초
高良,다카라
高見町,다카미초
高辺台,다카베다이
高辻,다캍수지
高部,다카베
高野台,다카노다이
高陽青柳町,고요아오야기초
高雄,다카오쿠
高須東,다카수히가시
高須町,다카수초
高館,다카다테
高麗橋,고라이바시
高鼻町,다카하나초
鬼北町,기호쿠
魚崎北町,우오사키키타마치
魚町,우오마치
鮫島,사메지마
鳥取大通,도또리오도리
鳥喰,도리바네
鳥坂,도리사카
鳥見町,도리미초
鳳東町,오토리히가시마치
鳳珠郡,호수 군
鳴和町,나루와마치
鳴子温泉,나루코 온센
鳴子町,나루코 초
鳴尾町,나루오초
鳴川,나루카와초
鳴海町,나루미초
鳴神,나루카미
鴨子ケ原,가모코가하라
鴨田,가모다
鴫野東,시기노히가시
鴫野西,시기노니시
鵜殿,우도노
鵠沼松が岡,구게누마맡수가오카
鵠沼桜が岡,구게누마사쿠라가오카
鵠沼海岸,구게누마카이간
鵠沼石上,구게누마이시가미
鵠沼神明,구게누마신메이
鵠沼花沢町,구게누마하나사와초
鶉久保,우수라쿠보
鶏冠井町,가이데초
鶴が丘,트수루가오카
鶴ケ峰本町,트수루가미네혼초
鶴屋町,트수루야초
鶴巻南,트수루마키미나미
鶴形,트수루가타
鶴町,트수루마치
鶴見中央,트수루미추오
鶴見橋,트수루미바시
鶴馬,트수루마
鷹匠町,다카조마치
鷹野,다카노
鷺宮,사기노미야
鷺山,사기야마
鹿又,가노마타
鹿子前町,가시매초
鹿嶋市,가시마시
鹿本町高橋,가모토마치타카하시
鹿田,시카다
鹿町,시카마치초
鹿町町長串,시카마치초나구시
鹿足郡,가노아시 군
麓町,후모토마치
麦野,무기노
麻生区,아사오 쿠
黄金,고가네마치
黄金町,고가네마치
黄金野,고가네노
黒岩,구로이와
黒崎町,구로사키마치
黒川,구로카와
黒川郡,구로카와군
黒河,구로카와
黒浜,구로하마
黒瀬町,구로세초
黒田,구로다
黒砂台,구로수나다이
黒磯町,구로이소마치
黒金町,구로가네초
黒髪,구로카미초
鼓が滝,트숱수미가타키
龍田,탙수다
龍野町富永,탙수노초토미나가
